message,created_time,id
🤣🤣🤣,2020-03-01T09:55:10+0000,1550268178470627_1546635082167270
"Records and Roger Federer better love story than twilight, and he is 38 years old",2020-03-01T09:36:46+0000,1550268178470627_1546623132168465
,2020-02-26T19:18:25+0000,1550268178470627_1543446792486099
,2020-02-18T19:23:48+0000,1550268178470627_1536391359858309
Two Greats of the beautiful game👏👏,2020-02-17T17:45:49+0000,1550268178470627_1535470013283777
These Animals define loyalty,2020-02-10T18:53:32+0000,1550268178470627_1529313950566050
,2020-02-08T13:08:46+0000,1550268178470627_1527340614096717
"In 1958 on the same day, probably the greatest team in the history of football lost 7 of their players, in a tragic Incident.",2020-02-06T12:53:58+0000,1550268178470627_1525533870944058
"What a player, What a legend.. Never ever backs down from any challenge , one day someone will come and win 30 grandslams but... There can be no one better than roger fucking federer",2020-01-30T17:25:12+0000,1550268178470627_1519748068189305
,2020-01-21T12:37:38+0000,1550268178470627_1511569589007153
,2020-01-21T12:36:45+0000,1550268178470627_1511569102340535
"Dil chahta hai.... Hum naa rahe kabhi yaaron k bin😍😍
Tum ho to hum hai... Tum nahi to kuch bhi nahi
#Copied #Friends Forever # Goa trip ends",2020-01-21T12:27:14+0000,1550268178470627_1511562595674519
And... India is a democratic country,2019-12-25T15:27:59+0000,1550268178470627_1483372395160206
What a goal🤩,2019-12-09T13:36:45+0000,1550268178470627_1466499710180808
"This is the country where we are living, sorry to say but our law and order is so weak and pathetic that guy who raped a girl is still alive and asking for mercy and one other guy was juvenile so he was given only 3years of imprisonment.",2019-12-01T23:18:26+0000,1550268178470627_1458861697611276
"Because, they are not just dogs😍",2019-11-23T23:36:02+0000,1550268178470627_1450789681751811
Life never stops,2019-11-18T23:37:03+0000,1550268178470627_1445758915588221
"Probably, the best reason of why we shouldn't complain, because to every person there is another person who has less",2019-11-06T22:28:30+0000,1550268178470627_1434054940091952
"Tumse milna......   Baatein karna.... Bada achaa lagta hai.... 

Convocation 2k19!!",2019-11-02T05:13:09+0000,1550268178470627_1429514807212632
"Asli pyaar to dost se hi hota hai, kyunki usme koi shart nahi hoti# 4 years #Best Friends # roomies+1",2019-07-29T09:54:51+0000,1550268178470627_1350037438493703
#Growth #Artificial Intelligence,2019-07-14T20:53:52+0000,1550268178470627_1339307539566693
,2019-05-07T15:44:16+0000,1550268178470627_1286994561464658
,2019-03-25T02:34:10+0000,1550268178470627_1256831051147676
Kahaan gaye kashmiri logon ki chaatna waale neta ye dekhliye ab bhi samajh nahi aata to desh chodo ab gussa bahut badh chuka kill these bloody Kashmiris kill them in a way that their generation would know that what is the consequence of disrespecting an army men,2019-02-17T23:57:55+0000,1550268178470627_1234472116716903
"Many and I mean lot of people talking about love, valentine's day and all those shit let me tell you what love is

1.when a guy leaves his home for the country that is love
2.when a mother sends her children to fight for the country that is her love for the nation
3.when a soldier lays down his last breath and every clot of blood for the fucking people who are involved in nothing but dirty politics that is love 
4.When a family sends their kin to fight the country  without knowing whether they will ever get half of what they had given is love.

The people in the wardis whom we call soldiers who protect pieces of shit like Siddhu etc are the forbearers of love and sad truth of our great nation is that they are being shown utmost hatred. This is ridiculous,sick and disgusting if you can't respect them please don't dare even trying to disrespect them. Lastly I want to say people might say after this post that you are just writing it for likes and you will forget everything after 2 days .

I don't have A right to forget them because it is because of them that I am able to even right these words. A great salute to the army and humaara kuch bigadega nahi aur pakistan tumhara hum kuch rehne nahi denge. Jai hind Jai Bharat Jai to all the armed forces personnel",2019-02-17T17:24:13+0000,1550268178470627_1234296233401158
